column_name,column_description,data_type
order_id,Unique identifier assigned to each customer order,integer
customer_id,Identifier linking the order to the customer who placed it,integer
order_date,Date when the customer completed the purchase,date
order_status,Current processing state of the order,string
total_amount,Total price charged to the customer for the entire order,decimal
currency_code,Currency used to process the transaction,string
payment_method,Method used by the customer to pay for the order,string
payment_status,Status indicating whether the order payment was successful,string
tax_amount,Total tax applied to the order at checkout,decimal
discount_amount,Total discount applied to the order before payment,decimal
shipping_cost,Amount charged to deliver the order to the customer,decimal
shipping_address,Street address where the order will be delivered,string
shipping_city,City where the order shipment will arrive,string
shipping_postal_code,Postal code associated with the shipping address,string
shipping_country,Country where the order will be delivered,string
shipment_date,Date when the order was shipped from the warehouse,date
delivery_date,Date when the order was delivered to the customer,date
product_id,Unique identifier assigned to each product,integer
product_name,Name of the product displayed in the store,string
product_category,Category used to group similar products,string
product_price,Standard selling price of the product,decimal
product_cost,Internal cost of acquiring or producing the product,decimal
product_sku,Stock keeping unit used to track the product,string
inventory_quantity,Number of product units currently available in stock,integer
inventory_location,Warehouse location where the product is stored,string
supplier_id,Identifier representing the supplier providing the product,integer
supplier_name,Name of the company supplying the product,string
supplier_country,Country where the supplier operates,string
customer_name,Full name of the customer,string
customer_email,Email address used to contact the customer,string
customer_phone,Phone number provided by the customer,string
customer_signup_date,Date when the customer created their account,date
customer_status,Current status of the customer account,string
customer_city,City where the customer resides,string
customer_country,Country where the customer resides,string
customer_postal_code,Postal code associated with the customer address,string
account_balance,Current balance associated with the customer account,decimal
last_login_date,Date when the customer last logged into the platform,date
loyalty_points,Total loyalty points accumulated by the customer,integer
refund_id,Unique identifier assigned to a refund transaction,integer
refund_date,Date when the refund was processed,date
refund_amount,Amount returned to the customer after a refund,decimal
refund_reason,Explanation provided for issuing the refund,string
return_id,Unique identifier assigned to a product return,integer
return_date,Date when the customer returned the product,date
return_status,Current processing state of the returned item,string
review_id,Unique identifier assigned to a product review,integer
review_rating,Numeric rating given by the customer for the product,integer
review_comment,Written feedback provided by the customer,string
review_date,Date when the customer submitted the review,date
cart_id,Unique identifier assigned to a shopping cart session,integer
cart_created_date,Date when the customer created the shopping cart,date
cart_last_updated,Date when the shopping cart was last modified,date
cart_item_count,Total number of items currently in the cart,integer
promotion_id,Identifier assigned to a promotional campaign,integer
promotion_name,Name of the promotion offered to customers,string
promotion_start_date,Date when the promotion becomes active,date
promotion_end_date,Date when the promotion expires,date
promotion_discount_rate,Percentage discount applied during the promotion,decimal
coupon_code,Code entered by customers to receive a discount,string
coupon_expiration_date,Date when the coupon can no longer be used,date
coupon_usage_limit,Maximum number of times a coupon can be redeemed,integer
warehouse_id,Identifier representing a warehouse facility,integer
warehouse_name,Name used to identify the warehouse,string
warehouse_city,City where the warehouse is located,string
warehouse_country,Country where the warehouse operates,string
warehouse_capacity,Maximum storage capacity of the warehouse,integer
shipment_id,Unique identifier assigned to a shipment record,integer
shipment_status,Current state of the shipment during delivery,string
carrier_name,Name of the company transporting the shipment,string
tracking_number,Code used to track the shipment with the carrier,string
estimated_delivery_date,Expected delivery date calculated for the shipment,date
invoice_id,Unique identifier assigned to an invoice,integer
invoice_date,Date when the invoice was generated,date
invoice_total_amount,Total amount listed on the invoice,decimal
invoice_status,Current state of the invoice payment,string
payment_transaction_id,Identifier assigned to the payment transaction,string
payment_processed_date,Date when the payment transaction was processed,date
payment_gateway,External service used to process the payment,string
session_id,Identifier representing a user browsing session,string
session_start_time,Timestamp when the browsing session began,timestamp
session_end_time,Timestamp when the browsing session ended,timestamp
page_view_count,Number of pages viewed during the session,integer
device_type,Type of device used during the session,string
browser_name,Name of the web browser used by the visitor,string
ip_address,Network address used by the visitor to access the platform,string
country_detected,Country inferred from the visitor network location,string
marketing_campaign_id,Identifier assigned to a marketing campaign,integer
marketing_channel,Channel used to reach the customer,string
campaign_start_date,Date when the marketing campaign begins,date
campaign_end_date,Date when the marketing campaign finishes,date
campaign_budget,Total budget allocated to the marketing campaign,decimal
ad_clicks,Number of advertisement clicks generated by the campaign,integer
ad_impressions,Number of times the advertisement was displayed,integer
conversion_count,Number of successful purchases attributed to the campaign,integer
conversion_rate,Percentage of visitors who completed a purchase,decimal
customer_lifetime_value,Estimated total revenue generated from a customer over time,decimal
average_order_value,Average purchase value calculated per order,decimal
total_orders,Total number of orders placed by the customer,integer
total_refunds,Total number of refunds issued for the customer,integer
total_returns,Total number of products returned by the customer,integer